title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
<b>멜라토닌</b> 식물성 리포좀 60정 2개월분 세로토닌 트립토판 메라토닌 영양 효과,https://smartstore.naver.com/main/products/10503263348,https://shopping-phinf.pstatic.net/main_8804776/88047768700.2.jpg,19800,,정성연구소,88047768700,2,정성연구소,성진바이오,식품,건강식품,영양제,멜라토닌
"서흥 닥터린 식물성 <b>멜라토닌</b> 함유 멜라바인 400mg x 30정, 1개",https://search.shopping.naver.com/catalog/56262672880,https://shopping-phinf.pstatic.net/main_5626267/56262672880.20250814153222.jpg,11860,,네이버,56262672880,1,닥터린,서흥,식품,건강식품,영양제,멜라토닌
"뉴트리코어 식물성 <b>멜라토닌</b> 함유 멜라바인 900mg x 30정, 1개",https://search.shopping.naver.com/catalog/56262322648,https://shopping-phinf.pstatic.net/main_5626232/56262322648.20250814145241.jpg,25980,,네이버,56262322648,1,뉴트리코어,,식품,건강식품,영양제,멜라토닌
"일양약품 프라임 식물성 <b>멜라토닌</b> 함유 멜라포민 500mg × 60정, 1개",https://search.shopping.naver.com/catalog/56262338065,https://shopping-phinf.pstatic.net/main_5626233/56262338065.20250814152321.jpg,14120,,네이버,56262338065,1,일양약품,일양약품,식품,건강식품,영양제,멜라토닌
"채움바이오 뉴트리올 식물성 <b>멜라토닌</b> 함유 멜라코어 360 500mg x 180정, 1개",https://search.shopping.naver.com/catalog/58255880264,https://shopping-phinf.pstatic.net/main_5825588/58255880264.20251224102707.jpg,35800,,네이버,58255880264,1,뉴트리올,채움바이오,식품,건강식품,영양제,멜라토닌
"허브큐어 뉴트리케이 식물성 <b>멜라토닌</b> 함유 MAX 500mg x 30정, 1개",https://search.shopping.naver.com/catalog/57262502520,https://shopping-phinf.pstatic.net/main_5726250/57262502520.20260106141933.jpg,18900,,네이버,57262502520,1,뉴트리케이,허브큐어,식품,건강식품,영양제,멜라토닌
"바움엘 식물성 <b>멜라토닌</b> 5mg  멜라바움 600mg x 30정, 1개",https://search.shopping.naver.com/catalog/58005931469,https://shopping-phinf.pstatic.net/main_5800593/58005931469.20251203154448.jpg,18790,,네이버,58005931469,1,,,식품,건강식품,영양제,멜라토닌
"바이탈룸 식물성 <b>멜라토닌</b> 미국 트립토판 600mg x 60정, 2개",https://smartstore.naver.com/main/products/12903554073,https://shopping-phinf.pstatic.net/main_9044806/90448065065.2.jpg,45000,,바이탈룸,90448065065,2,,,식품,건강식품,영양제,멜라토닌
닥터하모니 2중배합 <b>멜라토닌</b> [병원입점] 복합 미국 식물성 메라토닌 멜라프라임 트루 효과,https://smartstore.naver.com/main/products/11194908354,https://shopping-phinf.pstatic.net/main_8873941/88739418682.4.jpg,23000,,닥터하모니,88739418682,2,,,식품,건강식품,영양제,멜라토닌
"닥터가 스륵앤 600mg x 30정, 1개",https://search.shopping.naver.com/catalog/56773822739,https://shopping-phinf.pstatic.net/main_5677382/56773822739.20250917172757.jpg,12900,,네이버,56773822739,1,닥터가,,식품,건강식품,영양제,멜라토닌
