period,group,ratio,type,value
2025-09-01,증상_불면증,3.04552,age,50대이상
2025-10-01,증상_불면증,3.18625,age,50대이상
2025-11-01,증상_불면증,2.44219,age,50대이상
2025-12-01,증상_불면증,2.59158,age,50대이상
2024-01-01,고민_깊은잠,2.72292,age,50대이상
2024-02-01,고민_깊은잠,2.99356,age,50대이상
2024-03-01,고민_깊은잠,2.94665,age,50대이상
2024-04-01,고민_깊은잠,2.32167,age,50대이상
2024-05-01,고민_깊은잠,2.40971,age,50대이상
2024-06-01,고민_깊은잠,2.37435,age,50대이상
2024-07-01,고민_깊은잠,2.09,age,50대이상
2024-08-01,고민_깊은잠,1.85473,age,50대이상
2024-09-01,고민_깊은잠,1.89587,age,50대이상
2024-10-01,고민_깊은잠,2.2863,age,50대이상
2024-11-01,고민_깊은잠,2.54755,age,50대이상
2024-12-01,고민_깊은잠,4.54807,age,50대이상
2025-01-01,고민_깊은잠,7.17863,age,50대이상
2025-02-01,고민_깊은잠,4.49178,age,50대이상
2025-03-01,고민_깊은잠,5.29286,age,50대이상
2025-04-01,고민_깊은잠,2.36352,age,50대이상
2025-05-01,고민_깊은잠,2.30362,age,50대이상
2025-06-01,고민_깊은잠,1.66132,age,50대이상
2025-07-01,고민_깊은잠,1.43832,age,50대이상
2025-08-01,고민_깊은잠,2.5093,age,50대이상
2025-09-01,고민_깊은잠,2.73375,age,50대이상
2025-10-01,고민_깊은잠,1.41306,age,50대이상
2025-11-01,고민_깊은잠,2.56704,age,50대이상
2025-12-01,고민_깊은잠,2.19898,age,50대이상
2024-01-01,해결_영양제,4.87356,age,50대이상
2024-02-01,해결_영양제,4.05011,age,50대이상
2024-03-01,해결_영양제,4.73066,age,50대이상
2024-04-01,해결_영양제,4.70829,age,50대이상
2024-05-01,해결_영양제,4.41961,age,50대이상
2024-06-01,해결_영양제,3.69865,age,50대이상
2024-07-01,해결_영양제,3.06212,age,50대이상
2024-08-01,해결_영양제,3.01665,age,50대이상
2024-09-01,해결_영양제,2.94232,age,50대이상
2024-10-01,해결_영양제,2.93005,age,50대이상
2024-11-01,해결_영양제,2.7388,age,50대이상
2024-12-01,해결_영양제,3.84876,age,50대이상
2025-01-01,해결_영양제,3.28945,age,50대이상
2025-02-01,해결_영양제,3.80762,age,50대이상
2025-03-01,해결_영양제,8.49859,age,50대이상
2025-04-01,해결_영양제,5.95392,age,50대이상
2025-05-01,해결_영양제,4.90531,age,50대이상
2025-06-01,해결_영양제,3.60988,age,50대이상
2025-07-01,해결_영양제,3.38327,age,50대이상
2025-08-01,해결_영양제,3.05057,age,50대이상
2025-09-01,해결_영양제,2.82901,age,50대이상
2025-10-01,해결_영양제,2.47899,age,50대이상
2025-11-01,해결_영양제,2.61323,age,50대이상
2025-12-01,해결_영양제,2.48982,age,50대이상
2024-01-01,성분_멜라토닌,9.25853,age,50대이상
2024-02-01,성분_멜라토닌,9.33142,age,50대이상
2024-03-01,성분_멜라토닌,42.88054,age,50대이상
2024-04-01,성분_멜라토닌,79.3359,age,50대이상
2024-05-01,성분_멜라토닌,80.82041,age,50대이상
2024-06-01,성분_멜라토닌,83.50293,age,50대이상
2024-07-01,성분_멜라토닌,84.11347,age,50대이상
2024-08-01,성분_멜라토닌,92.13576,age,50대이상
2024-09-01,성분_멜라토닌,69.23515,age,50대이상
2024-10-01,성분_멜라토닌,56.95057,age,50대이상
2024-11-01,성분_멜라토닌,50.61487,age,50대이상
2024-12-01,성분_멜라토닌,78.62864,age,50대이상
2025-01-01,성분_멜라토닌,100.0,age,50대이상
2025-02-01,성분_멜라토닌,88.65939,age,50대이상
2025-03-01,성분_멜라토닌,85.12961,age,50대이상
2025-04-01,성분_멜라토닌,84.31122,age,50대이상
2025-05-01,성분_멜라토닌,91.33324,age,50대이상
2025-06-01,성분_멜라토닌,73.31485,age,50대이상
2025-07-01,성분_멜라토닌,76.65627,age,50대이상
2025-08-01,성분_멜라토닌,69.13556,age,50대이상
2025-09-01,성분_멜라토닌,55.13481,age,50대이상
2025-10-01,성분_멜라토닌,50.41064,age,50대이상
2025-11-01,성분_멜라토닌,40.10421,age,50대이상
2025-12-01,성분_멜라토닌,38.31803,age,50대이상
2024-01-01,성분_테아닌_마그네슘,21.38073,age,50대이상
2024-02-01,성분_테아닌_마그네슘,19.5029,age,50대이상
2024-03-01,성분_테아닌_마그네슘,22.88328,age,50대이상
2024-04-01,성분_테아닌_마그네슘,24.33821,age,50대이상
2024-05-01,성분_테아닌_마그네슘,25.08588,age,50대이상
2024-06-01,성분_테아닌_마그네슘,21.42764,age,50대이상
2024-07-01,성분_테아닌_마그네슘,22.16376,age,50대이상
2024-08-01,성분_테아닌_마그네슘,21.19165,age,50대이상
2024-09-01,성분_테아닌_마그네슘,31.59622,age,50대이상
2024-10-01,성분_테아닌_마그네슘,22.78225,age,50대이상
2024-11-01,성분_테아닌_마그네슘,23.88138,age,50대이상
2024-12-01,성분_테아닌_마그네슘,24.93865,age,50대이상
2025-01-01,성분_테아닌_마그네슘,26.87638,age,50대이상
2025-02-01,성분_테아닌_마그네슘,24.09211,age,50대이상
2025-03-01,성분_테아닌_마그네슘,27.17661,age,50대이상
2025-04-01,성분_테아닌_마그네슘,22.79163,age,50대이상
2025-05-01,성분_테아닌_마그네슘,22.04396,age,50대이상
2025-06-01,성분_테아닌_마그네슘,23.9687,age,50대이상
2025-07-01,성분_테아닌_마그네슘,21.72425,age,50대이상
2025-08-01,성분_테아닌_마그네슘,24.04015,age,50대이상
2025-09-01,성분_테아닌_마그네슘,23.97736,age,50대이상
2025-10-01,성분_테아닌_마그네슘,24.79504,age,50대이상
2025-11-01,성분_테아닌_마그네슘,24.40388,age,50대이상
2025-12-01,성분_테아닌_마그네슘,26.40079,age,50대이상
