period,ratio,group,ingredient
2024-05-01,40.04214,40,멜라토닌
2024-06-01,21.33661,30,멜라토닌
2024-06-01,36.33233,40,멜라토닌
2024-07-01,18.50105,30,멜라토닌
2024-07-01,32.22192,40,멜라토닌
2024-08-01,22.44455,30,멜라토닌
2024-08-01,44.44258,40,멜라토닌
2024-09-01,22.20668,30,멜라토닌
2024-09-01,38.2853,40,멜라토닌
2024-10-01,37.28587,30,멜라토닌
2024-10-01,64.88826,40,멜라토닌
2024-11-01,28.99409,30,멜라토닌
2024-11-01,49.42516,40,멜라토닌
2024-12-01,50.9963,30,멜라토닌
2024-12-01,87.23892,40,멜라토닌
2025-01-01,45.73622,30,멜라토닌
2025-01-01,76.17,40,멜라토닌
2025-02-01,59.6866,30,멜라토닌
2025-02-01,71.4858,40,멜라토닌
2025-03-01,89.19606,30,멜라토닌
2025-03-01,100.0,40,멜라토닌
2025-04-01,61.05744,30,멜라토닌
2025-04-01,68.00342,40,멜라토닌
2025-05-01,25.78504,30,멜라토닌
2025-05-01,43.72483,40,멜라토닌
2025-06-01,19.95743,30,멜라토닌
2025-06-01,31.75454,40,멜라토닌
2025-07-01,16.55851,30,멜라토닌
2025-07-01,22.82429,40,멜라토닌
2025-08-01,7.20888,30,멜라토닌
2025-08-01,10.01314,40,멜라토닌
2025-09-01,6.15102,30,멜라토닌
2025-09-01,8.53172,40,멜라토닌
2025-10-01,4.82608,30,멜라토닌
2025-10-01,6.71855,40,멜라토닌
2025-11-01,3.94975,30,멜라토닌
2025-11-01,5.91941,40,멜라토닌
2025-12-01,4.6842,30,멜라토닌
2025-12-01,6.50572,40,멜라토닌
2024-01-01,13.24389,30,마그네슘
2024-01-01,17.73578,40,마그네슘
2024-02-01,28.43321,30,마그네슘
2024-02-01,36.00478,40,마그네슘
2024-03-01,79.55476,30,마그네슘
2024-03-01,94.21085,40,마그네슘
2024-04-01,27.20755,30,마그네슘
2024-04-01,36.53612,40,마그네슘
2024-05-01,18.74475,30,마그네슘
2024-05-01,28.47937,40,마그네슘
2024-06-01,20.22384,30,마그네슘
2024-06-01,33.39519,40,마그네슘
2024-07-01,14.71261,30,마그네슘
2024-07-01,22.4547,40,마그네슘
2024-08-01,32.23736,30,마그네슘
2024-08-01,100.0,40,마그네슘
2024-09-01,93.09354,30,마그네슘
2024-09-01,87.50694,40,마그네슘
2024-10-01,47.71684,30,마그네슘
2024-10-01,49.06874,40,마그네슘
2024-11-01,25.31206,30,마그네슘
2024-11-01,31.33673,40,마그네슘
2024-12-01,14.46955,30,마그네슘
2024-12-01,23.86219,40,마그네슘
2025-01-01,11.73655,30,마그네슘
2025-01-01,19.13666,40,마그네슘
2025-02-01,9.62627,30,마그네슘
2025-02-01,14.08141,40,마그네슘
2025-03-01,10.3432,30,마그네슘
2025-03-01,16.77296,40,마그네슘
2025-04-01,8.98753,30,마그네슘
2025-04-01,14.56188,40,마그네슘
2025-05-01,7.61302,30,마그네슘
2025-05-01,11.8967,40,마그네슘
2025-06-01,7.38315,30,마그네슘
2025-06-01,11.78083,40,마그네슘
2025-07-01,6.54281,30,마그네슘
2025-07-01,9.19668,40,마그네슘
2025-08-01,3.64777,30,마그네슘
2025-08-01,6.0435,40,마그네슘
2025-09-01,3.6195,30,마그네슘
2025-09-01,5.80892,40,마그네슘
2025-10-01,2.86206,30,마그네슘
2025-10-01,5.19279,40,마그네슘
2025-11-01,3.01186,30,마그네슘
2025-11-01,4.98553,40,마그네슘
2025-12-01,2.9525,30,마그네슘
2025-12-01,5.62521,40,마그네슘
2024-01-01,33.64573,30,트립토판
2024-01-01,34.48922,40,트립토판
2024-02-01,34.77038,30,트립토판
2024-02-01,31.49015,40,트립토판
2024-03-01,37.67572,30,트립토판
2024-03-01,45.82942,40,트립토판
2024-04-01,32.05248,30,트립토판
2024-04-01,32.6148,40,트립토판
2024-05-01,43.76757,30,트립토판
2024-05-01,42.83036,40,트립토판
2024-06-01,39.26897,30,트립토판
2024-06-01,29.8969,40,트립토판
2024-07-01,40.11246,30,트립토판
2024-07-01,33.55201,40,트립토판
2024-08-01,31.02155,30,트립토판
2024-08-01,25.11715,40,트립토판
2024-09-01,28.49109,30,트립토판
2024-09-01,36.64479,40,트립토판
2024-10-01,29.24086,30,트립토판
2024-10-01,36.17619,40,트립토판
2024-11-01,39.92502,30,트립토판
2024-11-01,26.80412,40,트립토판
2024-12-01,34.67666,30,트립토판
2024-12-01,30.45923,40,트립토판
2025-01-01,64.57357,30,트립토판
2025-01-01,100.0,40,트립토판
2025-02-01,30.08434,30,트립토판
2025-02-01,34.02061,40,트립토판
2025-03-01,32.98969,30,트립토판
2025-03-01,41.51827,40,트립토판
2025-04-01,28.9597,30,트립토판
2025-04-01,38.61293,40,트립토판
2025-05-01,15.74507,30,트립토판
2025-05-01,17.52577,40,트립토판
2025-06-01,13.96438,30,트립토판
2025-06-01,13.5895,40,트립토판
2025-07-01,11.8088,30,트립토판
2025-07-01,18.08809,40,트립토판
2025-08-01,12.74601,30,트립토판
2025-08-01,10.12183,40,트립토판
2025-09-01,8.6223,30,트립토판
2025-09-01,11.3402,40,트립토판
2025-10-01,9.18462,30,트립토판
2025-10-01,9.18462,40,트립토판
2025-11-01,6.09184,30,트립토판
2025-11-01,7.87253,40,트립토판
2025-12-01,5.71696,30,트립토판
2025-12-01,5.34208,40,트립토판
2024-01-01,5.63139,30,타트체리
2024-01-01,5.80204,40,타트체리
2024-02-01,4.43686,30,타트체리
2024-02-01,8.02047,40,타트체리
2024-03-01,6.65529,30,타트체리
2024-03-01,8.19112,40,타트체리
2024-04-01,6.48464,30,타트체리
2024-04-01,9.72696,40,타트체리
2024-05-01,7.84982,30,타트체리
2024-05-01,9.72696,40,타트체리
2024-06-01,6.14334,30,타트체리
2024-06-01,6.48464,40,타트체리
2024-07-01,4.6075,30,타트체리
2024-07-01,6.31399,40,타트체리
2024-08-01,4.26621,30,타트체리
2024-08-01,7.84982,40,타트체리
2024-09-01,4.43686,30,타트체리
2024-09-01,7.67918,40,타트체리
2024-10-01,2.55972,30,타트체리
2024-10-01,3.92491,40,타트체리
2024-11-01,4.26621,30,타트체리
2024-11-01,4.77815,40,타트체리
2024-12-01,1.70648,30,타트체리
2024-12-01,0.51194,40,타트체리
2025-01-01,0.34129,30,타트체리
2025-01-01,0.85324,40,타트체리
2025-02-01,0.85324,30,타트체리
2025-02-01,1.36518,40,타트체리
2025-03-01,1.53583,40,타트체리
2025-04-01,0.34129,30,타트체리
2025-04-01,0.85324,40,타트체리
2025-05-01,0.68259,30,타트체리
2025-05-01,1.02389,40,타트체리
2025-06-01,37.88395,30,타트체리
2025-06-01,65.35836,40,타트체리
2025-07-01,63.65187,30,타트체리
2025-07-01,100.0,40,타트체리
2025-08-01,54.43686,30,타트체리
2025-08-01,92.66211,40,타트체리
2025-09-01,52.55972,30,타트체리
2025-09-01,69.79522,40,타트체리
2025-10-01,31.91126,30,타트체리
2025-10-01,48.80546,40,타트체리
2025-11-01,32.4232,30,타트체리
2025-11-01,50.34129,40,타트체리
2025-12-01,26.10921,30,타트체리
2025-12-01,42.15017,40,타트체리
2024-01-01,60.0,30,발레리안
2024-01-01,36.0,40,발레리안
2024-02-01,68.0,30,발레리안
2024-02-01,32.0,40,발레리안
2024-03-01,4.0,30,발레리안
2024-03-01,92.0,40,발레리안
2024-04-01,40.0,30,발레리안
2024-04-01,44.0,40,발레리안
2024-05-01,36.0,30,발레리안
2024-05-01,100.0,40,발레리안
2024-06-01,32.0,30,발레리안
2024-06-01,28.0,40,발레리안
2024-07-01,36.0,30,발레리안
2024-07-01,64.0,40,발레리안
2024-08-01,28.0,30,발레리안
2024-08-01,72.0,40,발레리안
2024-09-01,36.0,30,발레리안
2024-09-01,60.0,40,발레리안
2024-10-01,8.0,30,발레리안
2024-10-01,60.0,40,발레리안
2024-11-01,16.0,30,발레리안
2024-11-01,16.0,40,발레리안
2024-12-01,36.0,30,발레리안
2024-12-01,24.0,40,발레리안
2025-01-01,16.0,30,발레리안
2025-01-01,16.0,40,발레리안
2025-02-01,20.0,30,발레리안
2025-02-01,32.0,40,발레리안
2025-03-01,16.0,30,발레리안
2025-03-01,36.0,40,발레리안
2025-04-01,32.0,30,발레리안
2025-04-01,24.0,40,발레리안
2025-05-01,16.0,30,발레리안
2025-05-01,24.0,40,발레리안
2025-06-01,16.0,30,발레리안
2025-06-01,12.0,40,발레리안
2025-07-01,4.0,30,발레리안
2025-07-01,68.0,40,발레리안
