main_active,n_products,avg_price,med_price,avg_rating,avg_reviews,total_reviews
magnesium,337,27381.541420118345,23962.0,4.74792899408284,5842.884615384615,1974895
기타/복합,55,30543.072727272727,26184.0,4.427272727272728,2713.327272727273,149233
valerian,12,14917.333333333334,14616.0,4.616666666666666,2485.5833333333335,29827
passion_flower,8,14120.0,13132.5,4.6125,1887.625,15101
tryptophan,8,25965.25,27377.5,4.6125,1782.375,14259
melatonin,6,25722.0,23897.5,4.6000000000000005,166.0,996
chamomile,4,11672.75,12361.0,4.625,813.0,3252
theanine,1,8742.0,8742.0,4.5,2285.0,2285
