title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,search_keyword,matched_ingredients
"서흥 식물성 멜라토닌 함유 멜라베어 2.5g x 30구미, 1개",https://search.shopping.naver.com/catalog/58328386357,https://shopping-phinf.pstatic.net/main_5832838/58328386357.20251230113648.jpg,23400,,네이버,58328386357,1,,서흥,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"정관장 더블 <b>수면</b> 앤 스트레스 케어 (캡슐 550mg + 정제 700mg) x 30개입, 1개",https://search.shopping.naver.com/catalog/56904784356,https://shopping-phinf.pstatic.net/main_5690478/56904784356.20250924094701.jpg,32500,,네이버,56904784356,1,정관장,코스맥스엔비티,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"바이탈뷰티 굿슬립 가바365 430mg x 60정, 1개",https://search.shopping.naver.com/catalog/56752364120,https://shopping-phinf.pstatic.net/main_5675236/56752364120.20250916112702.jpg,22490,,네이버,56752364120,1,바이탈뷰티,아모레퍼시픽,식품,건강식품,영양제,기타건강보조식품,수면 영양제,가바
"졸립지 <b>수면</b>건강 솔루션 아쉬아간다 30정, 1개",https://search.shopping.naver.com/catalog/57939733870,https://shopping-phinf.pstatic.net/main_5793973/57939733870.20251128102608.jpg,17910,,네이버,57939733870,1,,코스맥스바이오,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"휴럼 리얼슬립 감태추출물 <b>수면</b>보조제 <b>수면</b>에좋은 건강 식물성 멜라토닌 효능 30정, 1개",https://smartstore.naver.com/main/products/4662256504,https://shopping-phinf.pstatic.net/main_8220677/82206777054.4.jpg,29000,,휴럼본사,82206777054,3,휴럼,광동헬스바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|감태
마인드비타 양재진 수면엔 락티움 <b>수면영양제</b> 800mg 30정 1개월분,https://smartstore.naver.com/main/products/8549593380,https://shopping-phinf.pstatic.net/main_8609409/86094093703.8.jpg,30900,,마카몰: 마인드비타 스토어,86094093703,2,마인드비타,콜마비앤에이치,식품,건강식품,영양제,기타건강보조식품,수면 영양제,락티움
"멜라토닌 5mg 젤리 미국 식물성멜라토닌 효과 <b>수면</b>보조제 메라토닌 3개월 90정, 1개",https://smartstore.naver.com/main/products/12187309783,https://shopping-phinf.pstatic.net/main_8973182/89731820488.jpg,35900,,이로든,89731820488,2,닥터브라이언,US PHARMATECH,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
네이쳐스바운티 <b>수면</b> 건강 보조제 숙면 <b>영양제</b> 딸기맛 구미젤리 120정,https://smartstore.naver.com/main/products/13011287020,https://shopping-phinf.pstatic.net/main_9055579/90555798112.jpg,59800,,유케어시스,90555798112,2,,,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
바이오360 에스더포뮬러 여에스더 멜라나인 플러스 500mg x 30정,https://search.shopping.naver.com/catalog/48597477618,https://shopping-phinf.pstatic.net/main_4859747/48597477618.20260109115811.jpg,9180,,네이버,48597477618,1,에스더포뮬러,바이오360,식품,건강식품,영양제,멜라토닌,수면 영양제,기타
"파이토뉴트리 슬립밸런스 700mg x 30정, 1개",https://search.shopping.naver.com/catalog/56770157416,https://shopping-phinf.pstatic.net/main_5677015/56770157416.20250917110025.jpg,34800,,네이버,56770157416,1,파이토뉴트리,한국씨엔에스팜,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"슬립솔 식물성 멜라토닌 5mg 미국 세인트존스워트 메라토닌 L 테아닌 30정, 1개",https://smartstore.naver.com/main/products/11644680994,https://shopping-phinf.pstatic.net/main_8918919/89189191460.3.jpg,25900,,웰로바,89189191460,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|멜라토닌|세인트존스워트
"서흥 멜라메이트 트리플액션 식물성 멜라토닌 2mg 800mg x 30정, 1개",https://search.shopping.naver.com/catalog/58812834670,https://shopping-phinf.pstatic.net/main_5881283/58812834670.20260205142601.jpg,10900,,네이버,58812834670,1,멜라메이트,서흥,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"한풍네이처팜 헬퓨 리포좀 식물성  멜라토닌 함유 멜라몽 10g x 14포, 3개",https://search.shopping.naver.com/catalog/57328765489,https://shopping-phinf.pstatic.net/main_5732876/57328765489.20251027092500.jpg,50000,,네이버,57328765489,1,헬퓨,한풍네이처팜,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
